job_id,Title,Company,Experience,Location,Description,Posted_Date,Skills_Listed,Job_URL
110626015770,Data Analyst,Grant Thornton,2-4 Yrs,Gandhinagar,Data Analyst1Education: Masters in public health; Postgraduate Statistic/Data Science ...,1 week ago,"Data Management, Data Analytics, Healthcare Data, Data, Management, Analytics, Data analysis, Healthcare",https://www.naukri.com/job-listings-data-analyst-shell-infotech-gandhinagar-2-to-4-years-110626015770
110626028847,Data Analyst,Client of Talent Corner,2-4 Yrs,Bengaluru,"Creating Daily, Weekly & Monthly performance reports for different business unitsRespon...",1 week ago,"Power Bi, Data Analytics, Power Query, SQL, Python, Data, Analytics, Data analysis",https://www.naukri.com/job-listings-data-analyst-talent-corner-hr-services-bengaluru-2-to-4-years-110626028847
100626036175,Data Analyst,bp,3-6 Yrs,Hybrid - Pune,Shift Timings - 12:30 PM 9 PM ISTBachelor s degree or equivalent experience or equivale...,3 days ago,"Power Bi, Data Visualization, Data Analytics, SQL, Python, Sql Joins, Dashboards, Data",https://www.naukri.com/job-listings-data-analyst-bp-pune-3-to-6-years-100626036175
170626019748,Data Analyst (AI-Enabled),Zenith Industrial Rubber Products,4-7 Yrs,Dombivli,. Key Skills: . Must Have Hands-on experience with Claude AI or other LLM tools (ChatGP...,4 days ago,"Business Intelligence, AI, Claude, Data Analysis, Data Analytics, ERP, Generative Ai, Power Bi",https://www.naukri.com/job-listings-data-analyst-ai-enabled-zenith-industrial-rubber-products-dombivli-4-to-7-years-170626019748
120626502943,Data Analyst,Inito,1-3 Yrs,Bengaluru,"Analyze complex data sets to identify trends and patterns, providing insights to stake...",1 week ago,"database maintenance, python, macros, data analysis, data analytics, data mining, predictive analytics, power bi",https://www.naukri.com/job-listings-data-analyst-inito-bengaluru-1-to-3-years-120626502943
150626014520,Data Analyst (DBT mandatory),Dunboxed,2-6 Yrs,Hyderabad,Job Description  Role Overview  We are looking for a Data Analyst with 2+ years of ex...,6 days ago,"Etl Pipelines, GCP, Data Build Tool, Advance Sql, AWS, Power Bi, Data Modeling, Tableau",https://www.naukri.com/job-listings-data-analyst-dbt-mandatory-dunboxed-hyderabad-2-to-6-years-150626014520
120626006701,Data Analyst,Pinkerton,2-5 Yrs,Gurugram,"Bachelor s degree in Data Science, Statistics, Computer Science, or a related fieldWork...",1 week ago,"python, data analysis, data analytics, analytical, insights, strong analytical skills, data integrity, dashboards",https://www.naukri.com/job-listings-data-analyst-pinkerton-gurugram-2-to-5-years-120626006701
180626502913,Data Analyst,Cisco,4-9 Yrs,Bengaluru,Experience incorporating AI outputs into data pipelines including consuming LLM API res...,3 days ago,"Automation, Schema, Scheduling, cisco, Macros, Analytics, Monitoring, SQL",https://www.naukri.com/job-listings-data-analyst-cisco-bengaluru-4-to-9-years-180626502913
090626503039,Data Analyst,SKP Knowledge Services,1-2 Yrs,Erode,Analyze complex data sets to identify trends and patterns. Develop and maintain databa...,1 week ago,"database maintenance, data analysis, data analytics, pivot table, business analysis, problem solving, process improvement, vlookup",https://www.naukri.com/job-listings-data-analyst-skp-knowledge-services-pvt-ltd-erode-1-to-2-years-090626503039
220426038468,Online Data Analyst Odia (IN),TELUS Digital,0-5 Yrs,Remote,This freelance opportunity allows you to work at your own pace and from home. . A day i...,3 weeks ago,"Oriya, oriya speaker, odiya, Language Editing, Power Bi, Artificial Intelligence, Content Writing, content",https://www.naukri.com/job-listings-online-data-analyst-odia-in-telus-digital-india-0-to-5-years-220426038468
280526016350,Data Analyst,Unity Small Finance Bank,2-5 Yrs,Navi Mumbai,Data Analyst Product (Business Loans) Location: Navi Mumbai Experience: 2-5 years Func...,4 days ago,"Lending, Portfolio, Funnel Analysis, Data Analytics, Power Bi, Data Visualization, cohort, SQL",https://www.naukri.com/job-listings-data-analyst-unity-small-finance-bank-navi-mumbai-2-to-5-years-280526016350
160626009517,Data Analyst,Iide Education,1-4 Yrs,Mumbai(Lower Parel West),"With a strong focus on experiential learning, we equip students, graduates, and working...",5 days ago,"Data Modeling, n8n, Make, Reporting, ETL Tool, Data Integration, Zapier, Data Visualization",https://www.naukri.com/job-listings-data-analyst-iide-education-mumbai-1-to-4-years-160626009517
080626002411,Data Analyst,CGI,5-8 Yrs,Hybrid - Hyderabad,"Role & responsibilities . Bachelors degree in Data Science, Statistics, Computer Scienc...",1 week ago,"Data Visualization, Data Analytics, Machine Learning, Python, SQL, Statistical Modeling, Data analysis, Modeling",https://www.naukri.com/job-listings-data-analyst-cgi-hyderabad-5-to-8-years-080626002411
150626500396,IRR Liquidity PBR Data Analyst,Krazy Mantra It,6-10 Yrs,Pune,Experience in analyzing large datasets and extracting valuable insights.,6 days ago,"python, sql queries, data analysis, data analytics, sas, data mining, predictive analytics, problem solving",https://www.naukri.com/job-listings-irr-liquidity-pbr-data-analyst-krazy-mantra-it-pvt-ltd-pune-6-to-10-years-150626500396
280426010915,Data Analyst,Innova Solutions,7-12 Yrs,"Hybrid - Hyderabad, Bengaluru, Greater Noida",Shift & Mode : 2pm to 11pm -(3 Days WFO). .,1 week ago,"Banking Analytics, Data Analytics, Python, SQL, Segmentation, Data Analysis, Data, Analytics",https://www.naukri.com/job-listings-data-analyst-innova-solutions-hyderabad-bengaluru-greater-noida-7-to-12-years-280426010915
180626923829,Data Analyst,Leading Client,3-5 Yrs,Hyderabad,Databases & Warehousing . SQL Databases: MySQL(Preferred),3 days ago,"Data Analysis, rds, BI TOOL, sql, analytics, cloud, bi tools, automation",https://www.naukri.com/job-listings-data-analyst-tetrahed-india-private-limited-hyderabad-3-to-5-years-180626923829
210626004328,Data Analyst,Mount Talent Consulting,8-13 Yrs,Remote,Sr. BI & Data Analyst-openings -01Location RemoteExperience: 8-15 yearsNotice: immedia...,Today,"Data Analyst, Uat Support, data validation, Power BI, data mining, BI, Bi Tools, UAT",https://www.naukri.com/job-listings-data-analyst-value-innovation-labs-bengaluru-8-to-13-years-210626004328
