job_id,Title,Company,Experience,Location,Description,Posted_Date,Skills_Listed,Job_URL,source,date_scraped
Senior Data Analyst - Product ,Senior Data Analyst - Product Delivery,Johnson Controls India,5 - 7 Years,"Hyderabad, India","Job Description
             Job DescriptionJob Title: Senior Data AnalystOverviewData Analyst at Johnson Controls, you will be at the forefront of data-driven decision-making within the organization. Leveraging your analytical skills and expertise in data management, you will transform complex data into clear insights that drive business strategy and operational efficiency. Your role will involve collaborating with cross-functional teams to enhance data availability, quality, and insight genera",Posted 3 days ago,"R, snowflake, Sql, Python",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Assistant Manager - Data Analy,Assistant Manager - Data Analyst,Tata AIA Life,3 - 7 Years,"India, Thane","Job Description
             Role descriptionJob Description - Data Analyst (Thane)A. Position OverviewPosition Title: Data AnalystDepartment: ComplianceLevel/Band: Sr. Executive / Assistant ManagerB. Organizational RelationshipsReports To: Manager - ComplianceSupervises: NAC. Job DimensionsGeographic Area Covered: NAStakeholders Internal: IT, OperationsExternal: NAD. Key Result Areas1. Development of control reports and automation in ACL. Develop, maintain, and automate exception reports, contr",Posted 3 days ago,"Outlier Detection, ACL, Sql, Data Analytics, Data Extraction",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Senior Data Analyst_Walmart Gl,Senior Data Analyst,Walmart Global Tech India,5 - 7 Years,"Chennai, India","Job Description
             Location: Chennai, BangaloreAbout Global Tech.Imagine working in an environment where one line of code can make life easier for hundreds of millions of people and put a smile on their face. That's what we do at Walmart Global Tech. We're a team of 15,000+ software engineers, data scientists and service professionals within Walmart, the world's largest retailer, delivering innovations that improve how our customers shop and empower our 2.3 million associates. To other",Posted 3 days ago,"Data Modeling, Power Bi, Data Governance, Dax, Power Query, Sql",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Principal Data Analyst_IDFC,Principal Data Analyst,IDFC,10 - 12 Years,"Mumbai, India","Job Description
             Job RequirementsAbout the RoleAs a Principal Data Analyst in the Data & Analytics function at IDFC FIRST Bank, you will play a strategic role in driving data-driven decision-making across the organization. You will leverage advanced analytics, statistical modelling, machine learning, and optimization techniques to solve complex business problems. In addition to hands-on analytics, you will provide technical leadership, mentor peers, and contribute to the bank's data ",Posted 3 days ago,"automated data solutions, Data Analysis, orchestration tools, server automation, Shell, Machine Learning, Metadata Management, PERL, Statistical Modelling, Python",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Data Analyst - Techno Function,"Data Analyst - Techno Functional SAP SD & FICO/OTC (Snowflake, DBT)",Siemens,8 - 10 Years,"Bengaluru, India","Job Description
             Leverage advanced analytical data methods, models, and algorithms using visualization tools and data warehouses with a business-oriented mindset to enrich and analyze data. This role has a strategic focus on the uplift of scalable business process modelling from Zone-level to Headquarters-level, while solving business-specific, scalable questions, improving transparency, and addressing reporting issues to generate new business opportunities enabled by data-driven ins",Posted 4 days ago,"SAP SD OTC, Analytical Techniques, data visualization tools, predictive models, visualization tools, snowflake, business intelligence software, dbt, Sql, Data Quality, Data Governance, data warehouses, Python",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Data Analyst Intern_futurlytic,Data Analyst Intern,futurlytic private limited,Fresher,"Bengaluru, India","Job Description
             Responsibilities for a Data Analyst Intern.The candidate must be very good in English, both in verbal and writtenHe/ she must be from an engineering background with a passion to work as a data engineer.The candidate would be good at data validation/data population as part of the visualization process.The candidate would be good in Microsoft Excel and PowerPoint in creating presentationsThe candidate must have working knowledge of Tableau/Power BI/SPSS/Excel/Google Sh",Posted 17 hours ago,"R, Powerpoint, database query writing, Power Bi, google sheets, Spss, Tableau, Microsoft Excel, Python",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Finance Data Analyst_Taylor & ,Finance Data Analyst,Taylor & Francis Group,Fresher,"Bengaluru, India","Job Description
             Informa is a leading academic publishing, business intelligence, knowledge and events business, creating unique content and connectivity for customers all over the world. It is listed on the London Stock Exchange and is a member of the FTSE 100.Taylor & Francis is one of the world's largest publishers of high-quality, peer reviewed scholarly journals, books, e-books and reference works. We empower learners, thinkers and doers with trusted knowledge that advances rese",Posted 17 hours ago,"Ai, Alteryx, Power Bi, Power Automate, Tm1, Excel, Jira, Power Query, Dax, Sql",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Sr. Data Analyst - MS SQL Job_,Sr. Data Analyst - MS SQL Job,Yash Technologies,5 - 7 Years,"Pune, India","Job Description
             YASH Technologies is a leading technology integrator specializing in helping clients reimagine operating models, enhance competitiveness, optimize costs, foster exceptional stakeholder experiences, and drive business transformation.At YASH, we're a cluster of the brightest stars working with cutting-edge technologies. Our purpose is anchored in a single truth – bringing real positive changes in an increasingly virtual world and it drives us beyond generational gaps a",Posted 4 days ago,"XLOOKUP, Pivot Tables, MS SQL, Apis, Powerbi, Vlookup, Data Integration, Microsoft Excel, Sql",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Data Analyst_Portcast,Data Analyst,Portcast,3 - 5 Years,"Mumbai, India","Job Description
             Portcast is a venture-backed, Singapore-based logistics technology startup building a real-time transportation visibility platform for global supply chains. We help shippers, manufacturers, and logistics service providers turn data into decisions and decisions into measurable business impact.Our platform goes beyond visibility. Portcast enables action at scale by surfacing the right risks early, helping teams prevent detention and demurrage, accelerate exception mana",Posted 6 days ago,"Data Visualization, Automation, Python, Sql",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Senior Data Analyst_Priceline,Senior Data Analyst,Priceline,5 - 7 Years,"Mumbai, India","Job Description
             This role is eligible for our hybrid work model: Two days in-office.We're a data-driven organization, which makes our Analytics and Data Science teams the brains of our operation. On the cutting edge of customer and business analytics, they make sure all our decisions and innovations are based on the latest insights.Why This Job's a Big DealAs a Senior Data Analyst within our Finance team, you will lead high-profile, strategic initiatives. Collaborating closely with ",Posted 5 days ago,"BigQuery, Power Bi, Tableau, Microsoft Excel, Oracle, Python, Sql",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
